,target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id,source
1,3913,3912,72748,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
2,3913,3912,73560,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
3,3913,3912,81151,1,0.763,0.111,3.259,0.753,,-0.271,0.862,3148,11561,755864,2854173,-5,8,0.835,,,,,,cdmpv532_211220,leewha
4,3913,3912,81634,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
5,3913,3912,81893,1,1.199,0.334,3.46,0.76,,0.182,0.596,3148,11561,755243,2853307,-5,12,0.685,,,,,,cdmpv532_211220,leewha
6,3913,3912,134461,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
7,3913,3912,140641,1,2.0,0.508,7.061,0.302,,0.693,0.672,3148,11561,755161,2853655,-5,10,0.283,,,,,,cdmpv532_211220,leewha
8,3913,3912,141932,1,0.602,0.135,1.918,0.452,,-0.508,0.677,3148,11561,755496,2853395,-5,18,0.561,,,,,,cdmpv532_211220,leewha
9,3913,3912,194083,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
10,3913,3912,196236,1,1.55,0.916,2.565,0.095,,0.438,0.263,3148,11561,752114,2849945,26,53,0.159,,,,,,cdmpv532_211220,leewha
11,3913,3912,253954,1,0.389,0.149,0.841,0.033,,-0.944,0.441,3148,11561,754530,2842970,6,59,0.093,,,,,,cdmpv532_211220,leewha
12,3913,3912,254443,1,0.494,0.076,1.86,0.388,,-0.705,0.817,3148,11561,755714,2853005,-5,15,0.471,,,,,,cdmpv532_211220,leewha
13,3913,3912,378427,1,1.089,0.737,1.578,0.66,,0.085,0.194,3148,11561,748711,2832773,39,132,0.596,,,,,,cdmpv532_211220,leewha
14,3913,3912,380038,1,1.086,0.047,12.386,0.954,,0.083,1.42,3148,11561,755816,2855845,-5,-5,0.907,,,,,,cdmpv532_211220,leewha
15,3913,3912,380706,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
16,3913,3912,434327,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
17,3913,3912,437264,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
18,3913,3912,438688,1,2.914,0.346,24.561,0.325,,1.07,1.088,3148,11561,756069,2856032,-5,-5,0.304,,,,,,cdmpv532_211220,leewha
19,3913,3912,439790,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
20,3913,3912,440193,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
21,3913,3912,443172,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
22,3913,3912,4030042,1,1.31,0.286,4.542,0.702,,0.27,0.705,3148,11561,755288,2853599,-5,10,0.639,,,,,,cdmpv532_211220,leewha
23,3913,3912,4087647,1,0.512,0.313,0.795,0.005,,-0.67,0.238,3148,11561,750106,2816341,23,154,0.091,,,,,,cdmpv532_211220,leewha
24,3913,3912,4115367,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
25,3913,3912,4169984,1,1.261,0.521,2.76,0.586,,0.232,0.425,3148,11561,754399,2850082,8,27,0.531,,,,,,cdmpv532_211220,leewha
26,3913,3912,4213540,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
27,3913,3912,4234533,1,0.269,,1.252,,,-1.312,,3148,11561,756130,2854079,0,12,,,,,,,cdmpv532_211220,leewha
28,3913,3912,4248870,1,0.698,0.2,1.877,0.528,,-0.36,0.571,3148,11561,755354,2850518,-5,25,0.662,,,,,,cdmpv532_211220,leewha
29,3913,3912,4291005,1,0.924,0.626,1.33,0.68,,-0.079,0.192,3148,11561,747980,2820843,37,152,0.778,,,,,,cdmpv532_211220,leewha
30,3913,3912,36713918,1,,,,,,,,3148,11561,756130,2856293,0,0,,,,,,,cdmpv532_211220,leewha
1,3913,3912,72748,1,,,,,,,,2581,9073,754513,2500626,0,0,,,,,,,cdmpv532_220228,kyeonghee
2,3913,3912,73560,1,,,,,,,,2581,9073,754513,2500626,0,0,,,,,,,cdmpv532_220228,kyeonghee
3,3913,3912,81151,1,1.104,0.164,4.576,0.907,,0.099,0.849,2581,9073,753972,2499054,-5,9,0.901,,,,,,cdmpv532_220228,kyeonghee
