"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
0,1,1,1,1,1,1,1285,4419,3913,3912,3269,1,"cdmpv532_220131"
31,0.9984,0.9938,0.9996,1,1,1,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
33,0.9984,0.9938,0.9996,0.9993,0.9737,1,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
34,0.9984,0.9938,0.9996,0.9986,0.9814,0.9999,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
35,0.9984,0.9938,0.9996,0.9961,0.9816,0.9992,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
36,0.9977,0.9928,0.9992,0.996,0.9816,0.9991,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
37,0.9977,0.9928,0.9992,0.9895,0.9732,0.9959,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
38,0.9977,0.9928,0.9992,0.9894,0.973,0.9958,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
39,0.9969,0.9917,0.9988,0.9869,0.9697,0.9943,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
40,0.9961,0.9907,0.9984,0.9852,0.9674,0.9933,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
41,0.9945,0.9886,0.9974,0.9848,0.9669,0.9931,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
42,0.9945,0.9886,0.9974,0.9845,0.9665,0.9928,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
43,0.9945,0.9886,0.9974,0.9839,0.9658,0.9925,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
44,0.9945,0.9886,0.9974,0.9827,0.9642,0.9917,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
45,0.9938,0.9876,0.9969,0.9827,0.9642,0.9917,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
47,0.9938,0.9876,0.9969,0.9826,0.9641,0.9916,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
48,0.9938,0.9876,0.9969,0.9821,0.9634,0.9913,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
50,0.9938,0.9876,0.9969,0.9819,0.9631,0.9911,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
51,0.9938,0.9876,0.9969,0.9815,0.9626,0.9909,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
53,0.9938,0.9876,0.9969,0.98,0.9606,0.9899,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
55,0.993,0.9865,0.9963,0.98,0.9606,0.9899,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
57,0.9922,0.9855,0.9958,0.98,0.9606,0.9899,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
58,0.9914,0.9845,0.9952,0.9797,0.9602,0.9897,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
59,0.9914,0.9845,0.9952,0.9688,0.9464,0.9819,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
61,0.9914,0.9845,0.9952,0.9513,0.9255,0.9684,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
62,0.9906,0.9835,0.9946,0.9512,0.9254,0.9683,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
63,0.9898,0.9825,0.994,0.9512,0.9254,0.9683,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
64,0.9898,0.9825,0.994,0.9511,0.9252,0.9681,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
68,0.9898,0.9825,0.994,0.9509,0.925,0.968,NA,NA,3913,3912,3269,1,"cdmpv532_220131"
